text,label,set
"Gender (max.200 words) Indicate how gender-related issues will be taken into account during project implementation, specifically addressing how women and men would equally benefit from the project and whether the proposed project has allocated resources for this purpose. Proposals must ensure that projects provide equal opportunities for participation, where appropriate, and how this will be monitored.",1,train
"2.2 Gender, equity and Sustainable Development",1,train
"Q4.8 Supporting capability and capacity
Describe how your project will assist in strengthening the capability and capacity of local and national partners and stakeholders throughout its duration. Include details on the nature of the support, who will benefit from it, and the long-term value of the project to the stakeholders. (Max 250 words)",1,train
"If Yes, case for support in Upper Middle-Income Country/ies (UMICs)
Proposals to work in a UMIC must demonstrate a stronger case for support to be awarded funding. If your project will work in a UMIC, explain how your project meets the UMIC Assessment criteria detailed in the Complete Guidance for Applicants. (Max 250 words)",1,train
Any other information relating to Section A that you believe is important for us to know. Include here any other information that relates to any of the issues in this section that you feel should be considered.,1,train
"Q7.2 Project standard indicators
Indicate which Standard Indicators you will report on using the template provided, including your expected targets by project end. Select a minimum of 5 Standard Indicators. If you can report against more than 5 Standard Indicators, this is strongly encouraged. Select as many indicators as is feasible for your project and its context.",1,train
"Q13.2 If you have not been able to meaningfully engage with your respective British embassy or high commission, explain why. Your response to this question will not influence the outcome of your application. (Max 50 words)",1,train
"Q12.1 Lead organisations project references: As an alternative (not preferred) to uploading reference letters, complete the information below for each of up to three recent projects/grants held by the lead organisation that demonstrate your credibility and track record. For each Contract/Project provide:

Contract/Project 2
   Title
   Contract value/project budget (include currency)
   Duration (in months)
   Role of organisation in project (Max 50 words)
   Brief summary of the aims, objectives and outcomes of the project (Max 100 words)
   Client/independent reference contact details (Name, e-mail) (Max 25 words)

Contract/Project 3
   Title
   Contract value/project budget (include currency)
   Duration (in months)
   Role of organisation in project (Max 50 words)
   Brief summary of the aims, objectives and outcomes of the project (Max 100 words)
   Client/independent reference contact details (Name, e-mail) (Max 25 words)",1,train
"Q2.5 Project region
What region will your project work in? Select all that apply.
? Sub-Saharan Africa
? Northern Africa
? Central and Southern Asia
? Eastern & South-Eastern Asia
? Western Asia
? Latin America and the Caribbean
? Oceania
? Europe
? Northern America",0,train
"Q4.3 Project methodology
As part of your response, tell us the delivery methods (including activities and materials), and the management approach (for example, roles and responsibilities, project management tools). (Max 1,500 words)",1,train
"Q10.1 Project staff
Tell us the key staff (identified in the budget), their role and what % of their time they will be working on the project. Complete the table below and provide a CV of each key staff member that is no more than one page in length. Be aware that your project may be rejected if you upload CVs that are more than one page in length. (Each CV must be a maximum of one page long. All CVs must be merged into a single .pdf file.)",0,train
Potential Project Co-Financing (optional):,0,train
"Q8.4 Value for Money
Tell us why your project is good value for money. Consider the expected impact and cost-effectiveness of each pound spent (economy, efficiency, effectiveness and equity). (Max 500 words)",1,train
"Management Arrangements (max.200 words) Describe and visualize the project's management structure, coordination mechanisms, and the project management reporting line.",1,train
Target Country(ies): Brunei Darussalam Malaysia Indonesia Philippines,0,train
Any other information relating to Section C that you believe is important for us to know. (maximum150words) Include here any other information that relates to any of the issues in this section that you feel should be considered.,1,train
Telephone Number:,0,train
Job title / position,0,train
"Past Financial Performance. Provide this information for the last3 years for the legal entity that is submitting the Concept Note. Figures should be to the nearest £100,000, and based on audited accounts. Financial Year (start - end date), FY [mm/yyyy] - [mm/yyyy], FY [mm/yyyy] - [mm/yyyy], FY [mm/yyyy] - [mm/yyyy], Total income (funds received), °, °, °, Capital expenditure, °, °, °, Operational expenditure, °, °, °, Annual surplus/ deficit, °, °, °, Total Reserves, °, °, °",0,train
9. PROJECT PARTNERS,0,train
Monitoring and Evaluation Arrangements (max.300 words) Describe the monitoring and evaluation arrangement of the project.,1,train
Name of the focal point for this program,0,train
"General context of the project (context and issues targeted by the project, stakes)",1,train
b) Your organisation's experience of networking and coalition-building (maximum300words) Please reflect on your organisation's experience of working in networks and coalitions and how your proposed intervention will contribute to enriching the FGMC Community of Practice.,1,train
5.1 Additional reports to be provided: All program reports for this partnership must be submitted via the eTools Partner Reporting Portal (PRP),1,train
"Q7.4 Project logical framework (logframe)
Fill in the specified logframe template. Do not change the structure of the template (except to include additional Outputs if needed), as this may make your application ineligible. (Upload your completed template as an Excel file)",1,train
c) Your organisation's approach to Gender (maximum300words) Please (i) reflect on your appreciation of the extent to which your organisation through this proposal will respond to FGM2's approach to Gender (as set out in Annex C of the Business Case); and (ii) provide an overview of what will be implemented to that effect.,1,train
Total number of perennial trees* (with a clearly established time frame),0,train
"Description of the organisation's mission and activities (Max300 words) Please describe for the organisation or lead organisation (where applying as a consortium, network or federation).",1,train
12. Methodology and schedule: 12.2. Indicate the precise work schedule and the associated methods (what-when-how-who/with whom-where). Schedule to be detailed by month for at least the first year.,1,train
"Q4.7 Expected contribution to climate adaptation and/or mitigation
Demonstrate how your project will contribute to climate adaptation and/or climate mitigation. (Max 250 words)",1,train
Email Address:,0,train
"15. Expected benefits of this project: 15.2. Describe the expected benefits for people and the associated time frame: 15.2.3. For their part, what do the beneficiaries expect from this project? Have they expressed themselves?",1,train
Goal and Objective (200 words max) (Please provide the summary of Project Objectives):,1,train
Implementing organization:,0,train
Project Duration:1 year2 years,0,train
6. ACTIVITY LOCATIONS,0,train
"Does your organisation have a track record of managing projects of equivalent scale? As a reminder, the awards under the2025 Accountable Grants round will range from µ500k - µ5m over up to3.5 years. Please elaborate (Max150words) Please provide at least one example of a relevant project, including interventions that you may have listed in A20 below. Yes No",1,train
E-mail:,0,train
Project end date This can be any date up to and including28 February2029.,0,train
Contact number Please include international dialling code,0,train
Focal Person Name / Position (Please indicate the name and position of the focal person of the project.):,0,train
Partner organisations full name and website,0,train
Specific context for the project presented to A Tree for You: 10.2. Local climate / altitude / observed and expected evolution of this climate,1,train
"Problem Analysis (max.600 words) Please provide:1) a description of the current situation or issue related to the project (background, geographic region, and beneficiaries, etc).2) an analysis of the problem the project is trying to address. Develop a Problem Tree by defining the core problem and identifying its causes and effects. The description must be clearly linked to the project's objectives and how the project will address the problem.",1,train
"Q14.1 Project sensitivities: Tell us whether there are sensitivities associated with this project that need to be considered if details are published (for example, detailed species location data that would increase threats, political sensitivities, prosecutions for illegal activities, security of staff). Your response to this question will not influence the outcome of your application. ? Yes ? No

If Yes, provide brief details. (Max 200 words)",1,train
Specific context for the project presented to A Tree for You: 10.6. Specific issues related to soils,1,train
11. Type of project (agroforestry / forestry / mixed / other),0,train
Acronym,0,train
"Qualitative indicators: - Feedback, studies or measures on the project's benefits for biodiversity / soils / water / climate",1,train
Specific context for the project presented to A Tree for You: 10.1. Target groups and final beneficiaries: 10.1.5. Professions / activities,0,train
Submission Date,0,train
Provide details of any partner organisation you have selected to work with. Add more of the following table if working with more than one partner organisation.,1,train
Phone number:,0,test
I have provided actual start and end dates for the project.,0,test
Specific context for the project presented to A Tree for You: 10.1. Target groups and final beneficiaries: 10.1.2. Female/male distribution,0,test
"13.4. How were the list of species and the planting plans established? (Experts or the planter's own experiences, local/international experts, local nurserymen, traditional practices in the region, bibliographic sources, other structures practicing the same types of planting: NGOs, States, international institutions, etc.)",1,test
8. PROJECT SCHEDULE AND TIMELINE,0,test
"Q2.7 Project secondary country/ies
Which eligible secondary country/ies will your project work in? By secondary country/ies we refer to the country/ies which have some activities but are not the main project focus. NOTE: if you are working in a secondary country(ies), it is highly recommended that you have a partner organisation in each secondary country you are working in.
Select all that apply (it can be left blank if not applicable).
Country 1: __________    Country 2: __________
Country 3: __________    Country 4: __________",0,test
"Specific context for the project presented to A Tree for You: 10.1. Target groups and final beneficiaries: 10.1.9. Have the beneficiaries already been clearly identified individually? If so, how and why them?",1,test
13.3. Planting plans / designs: 13.3.1. Indicate the planting plans / designs,1,test
"Q1.7 Lead organisations number of staff as full-time equivalent (FTE)
Tell us the total FTE of all employed staff in your organisation (for example, if you have 3 full-time staff and 1 part-time staff with an FTE of 0.5 your answer will be 3.5).",0,test
16. Project risks: 16.2. ... 16.2.3. How to ensure in this project that these same problems will be anticipated / avoided?,1,test
"Q4.13 Project alignment with international policies and commitments
Detail how your project complements or contributes to international policies and commitments. (Max 250 words)",1,test
9.1. Is this project a continuation of a pre-existing project? For how long? What feedback do you have from it?,1,test
"Qualitative indicators: - Testimony from beneficiaries on the impact on their living conditions, their income, the lessons learned from the project, the local economic life",1,test
The audio/visual and additional supporting evidence is in line with the requirements.,0,test
D1. Rough breakdown of the budget providing some guide to the relative weight you place on different aspects of your proposal (Either in increments of100k or10%),1,test
"Project Manager (ATFY point of contact): 5.1. Last name, first name / Position / Email address / Telephone",0,test
"Q8.1 Project matched funding arrangements
Will your project have matched funding? ? Yes ? No
Matched funding is not a requirement but is desirable and may strengthen your application. When completing your budget, ensure it is clearly identified which aspects will be funded by Defra and which will be co-financed by matched funding arrangements.",0,test
Registration number,0,test
Q1.2 Lead organisations registered address,0,test
17. Follow-up and monitoring commitments: ... 17.1. Structures involved in the field: 17.1.5. For the regular audit of progress / problems to be solved in the field,1,test
"Other Cross-Cutting Issues (max.200 words) Indicate cross-cutting issues and state how these issues will be addressed by the project, as applicable.",1,test
"15. Expected benefits of this project: 15.4. Will you implement specific actions to publicize your project and inspire other actors? (School visits, participation of agricultural high schools, farmer networks, etc.)",1,test
Program Justification,0,test
What year was your organisation formally established and legally registered? (State year),0,test
15. Expected benefits of this project: 15.1. Describe the benefits for the environment and the associated time frame: 15.1.3. For biodiversity (flora and fauna),1,test
Place of registration,0,test
"17. DETAILED BUDGET (itemize any amount larger than $200):
Include line items under the following categories with number of units, price per unit, U.S. share of the cost, applicants share of the cost (if any), and total (A+B+C+D+E+F):
A. Personnel
B. Fringe
C. Travel
D. Supplies
E. Contractual
F. Other Direct Costs
Grand Total (A+B+C+D+E+F)",1,test
"Q4.5 Changes expected in marine environment in the short-term and in the long-term
Describe the expected changes in the marine environment that your project will deliver. Make reference to your theory of change. (Max 750 words)",1,test
Telephone (focal point),0,test
"Number of trainings carried out, number of training days given, number of participants and profiles (the same as the beneficiaries?)*",0,test
17. Follow-up and monitoring commitments: ... 17.1. Structures involved in the field: 17.1.4. For technical follow-up over the years,1,test
"Q1.10 Project leaders full name and email address
NOTE: there is a preference for the project leader to be staff of the lead organisation. Where the Project Leader is not employed by the Lead Organisation, the reasoning behind this should be made clear in the application, including their capability to control and be held accountable for the proposed project.",0,test
Project Implementation Partners:,0,test
C2 Results a) Results: Alignment with organisational goals (maximum300words) How do your Project outputs and outcomes align with your organisational goals? How does the proposed project complement other activities of your organisation? Please explain the alignment between the outputs and outcomes of your proposed Project and your overall organisational goals / objectives / strategy.,1,test
"Q5.1 Project communication plan
Outline three key objectives of your communication plan, specify the activities and channels you will use and provide details of your intended audiences. Briefly outline how you will measure whether your plan has been successful. Also indicate an approximate budget and level of effort (person days) to be spent on communication. (Max 500 words)

Please provide:
- Total project budget for Communication (this may include Staff and Travel and Subsistence Costs): GBP and %
- Number of days planned for Communication",1,test
Specific context for the project presented to A Tree for You: 10.8. Specific issues related to biodiversity (fauna and flora),1,test
2.6 Other documents,1,test
"Which countries, regions, regional bodies, global arenas, etc. do you expect to achieve results in, including linkages across different results areas? (maximum200words) Please identify where and how you intend to work.",1,test
Q4.6 Describe the expected changes in multi-dimensional poverty that your project will deliver. Make reference to your theory of change. (Max 500 words),1,test
Specific context for the project presented to A Tree for You: 10.3. Existing agricultural systems today and problems to be solved by the project,1,test
"Q9.1 Safeguarding
All projects funded under OCEAN must ensure proactive action is taken to promote the welfare and protect all individuals involved in the project (staff, implementing partners, the public and beneficiaries) from harm, including from sexual exploitation, abuse and sexual harassment (SEAH).

In order to provide assurance of this, projects are required to have specific procedures and policies in place. Please upload the following policies detailed below:
 Safeguarding policy
 Whistleblowing policy
 Gender Equality, Disability, and Social Inclusion policy
 Equal Opportunities / Diversity policy
 Code of Conduct

(Upload your policies as a PDF file. Please upload one file per policy. If any of these policies are integrated into a broader policy document or handbook, you will be asked to provide just the relevant or equivalent sub-sections to the above policies.)

If your application is recommended for funding, you will be asked to provide copies of the following policies. Such policies will be subject to due diligence checks. Only if all checks are satisfactory, will you be issued with the grant agreement:
 Lead organisation's financial processes
 Lead organisation's staff management and Human Resources processes
 Counter Fraud, Bribery and Corruption policy
 Ethics policy",0,test
What are the activities of your organisation? (Max 100 words),1,test
Project Manager (ATFY point of contact): 5.2. CV of the project manager,0,test
"5. Signatures and date:\n- Name and position of the CSO President, Date\n- Name and position of the UNICEF Madagascar Representative, Date",0,test
15. Expected benefits of this project: 15.3. In what way is your project innovative and could serve as an example for other regional actors to follow?,1,test
17. Follow-up and monitoring commitments: ... 17.1. Structures involved in the field: 17.1.2. For the project management as close as possible to the field,1,test
"Q1.4 Lead organisations legal status
Select only one option.
? International Non-Governmental Organisation (NGO) / Charity
? National NGO / Charity
? Local NGO / Charity / Civil Society Organisation
? Academic / Research Institution
? Private Sector Organisation / Business / Business Association
? Other, specify below.",0,test
Organization Type (Please indicate the organization type): Public (e.g. NGOs/Research Institutions) Private,0,test
16. Project risks: 16.1. What are the risks to anticipate on this project? What actions will be taken to address them?,1,test
Q11.2 Explain why you have selected these partner organisations and outline the roles and responsibilities in the project of the lead organisation and each partner organisation. (Max 500 words),1,test
Program Type: ? Democracy Commission   ? Womens Empowerment,0,test
"Which of the FGMC Components will your Project Proposal address? Primary focus: Comp.1 ?, Comp.2 ?, Comp.3 ?; Indirect/additional focus: Comp.1 ?, Comp.2 ?, Comp.3 ?",0,test
7. PROJECT BENEFICIARIES,0,test
Q2.1 Project title (Max 10 words),0,test
I have provided the budget based on UK government financial years i.e. 1 April  31 March and in GBP.,0,test
Any other information relating to Section B that you believe is important for us to know. (maximum150words) Include here any other information that relates to any of the issues in this section that you feel should be considered.,1,test
"5.3 Issues related to supplies, if applicable:\n- The procurement of supplies purchased by UNICEF will be completed and delivered within 3 months of the project start\n- UNICEF will have the right to request that any equipment and supplies transferred or made available to the CSO, or purchased by the CSO under funding from this Program Document be transferred to UNICEF or another partner at the end of the Program or its termination",1,test
"13. Species and planting plans: 13.1. List of planned species: 13.1.3. What is your method in the field to achieve this commitment? Describe the process involving nurseries, distribution, planting, monitoring. Describe your methods to convince the nurserymen and then the beneficiaries of this choice of species.",1,test
CSO's share (program budget),0,test
"17. Follow-up and monitoring commitments: At A Tree for You, we commit to our donors to follow the projects for at least 3 years after the last year of planting. This follow-up consists of: - Articles, with photos of the project, in French and English for the association's donors: at least 2 articles the first year and one article the following years. - A technical and financial report will be requested from you once a year for 3 to 5 years. 17.1. Structures involved in the field: 17.1.1. For the upstream design of the project",1,test
Category of Project to be Implemented Policy and regulatory framework Sector master plan Pre-feasibility or feasibility study A small-scale demonstration National Determined Contribution implementation Green recovery and green employment Capacity building and public awareness Others (50 words max.):,1,test
A. Project title:,0,test
4. PROJECT OUTCOMES,1,test
Number of direct beneficiaries involved in the project and profiles*,0,test
